County,25+Population,Total Male Population,Total Female Population,"DNU: Total 18-24, Non-grad","DNU: M Total 18-24, Non-grad","DNU: F Total 18-24, Non-grad","DNU: Total 18-24, HS","DNU: M Total 18-24, HS","DNU: F Total 18-24, HS","DNU: Total 18-24, Assoc","DNU: M Total 18-24, Assoc","DNU: F Total 18-24, Assoc","DNU: Total 18-24, Bach","DNU: M Total 18-24, Bach","DNU: F Total 18-24, Bach",Total Pop 25+,Male Pop 25+,Female Pop 25+,Total 25+ 9th or Less,Male 25+ 9th or Less,Female 25+ 9th or Less,Total 25+ No diploma,Male 25+ No diploma,Female 25+ No diploma,Total 25+ HS,Male 25+ HS,Female 25+ HS,Total 25+ Some College,Male 25+ Some College,Female 25+ Some College ,Total 25+ Assoc,Male 25+ Assoc,Female 25+ Assoc,Total 25+ Bach,Male 25+ Bach,Female 25+ Bach,Total 25+ Grad,Male 25+ Grad,Female 25+ Grad,Total 25-35,Male 25-34,Female 25-34,Total 25-34 HS or Assoc,Male 25-34 HS or Assoc,Female 25-34 HS or Assoc,Total 25-34 Bach,Male 25-34 Bach,Female 25-34 Bach,Total 35-44,Male 35-44,Female 35-44,Total 35-44 HS,Male 35-44 HS,Female 35-44 HS,Total 35-44 Bach,Male 35-44 Bach,Female 35-44 Bach,Total 45-64,Male 45-64 ,Female 45-64,Total 45-64 HS,Male 45-64 HS,Female 45-64 HS,Total 45-64 Bach,Male 45-64 Bach,Female 45-64 Bach,Total 65+,Male 65+,Female 65+,Total 65+ HS,Male 65+ HS,Female 65+ HS,Total 65+ Bach,Male 65+ Bach,Female 65+ Bach,Total White Pop,Total White/Hisp Male Pop,Total White/Hisp Female Pop,Total White/Hisp HS,Male White/Hisp HS,Female White/Hisp HA,Total White/Hisp Bach,Male White/Hisp Bach,Female White/Hisp Bach,Total White Pop,White Male Pop,White Female Pop,Total White HS,Male White HS,Female White HS,Total White Bach,Male White Bach,Female White Bach,Total Black Pop,Male Black Pop,Female Black Pop,Total Black HS,Male Black HS,Female Black HS,Total Black Bach,Male Black Bach,Female Black Bach,Total AmInd/AK Pop,Male AmInd/AK Pop,Female AmInd/AK Pop,Total AmInd/AK HS,Male AmInd/Ak HS,Female AmInd/AK HS,Total AmInd/AK Bach,Male AmInd/AK Bach,Female AmInd/AK Bach,Total Asian Pop,Male Asian Pop,Female Asian Pop,Total Asian HS,Male Asian HS,Female Asian HS,Total Asian Bach,Male Asian Bach,Female Asian Bach,Total HI-PI Pop,Male HI-PI Pop,Female HI-PI Pop,Total HI-PI HS,Male HI-PI HS,Female HI-PI HA,Total HI-PI Bach,Male HI-PI Bach,Female HI-PI Bach,Total Other Pop,Male Other Pop,Female Other Pop,Total Other HS,Male Other HS,Female Other HS,Total Other Bach,Male Other Bach,Female Other Bach,Total Multi Pop,Male Multi Pop,Femal Multi Pop,Total Multi HS,Male Multi HS,Female Multi HS,Total Multi Bach,Male Multi Bach,Female Multi Bach,Total Hisp Pop,Male Hisp Pop,Female Hisp Pop,Total Hisp HS,Male Hisp HS,Female Hisp HS,Total Hisp Bach,Male Hisp Bach,Female Hisp Bach,Total Median Earnings ,Male Median Earnings,Female Median Earnings,Total Median Earning Less than HS,Male Median Earning Less than HS,Female Median Earning Less than HS,Total Median Earning HS,Male Median Earning HS,Female Median Earning HS,Total Median Earning Assoc,Male Median Earning Assoc,Female Median Earning Assoc,Total Median Earning Bach,Male Median Earning Bach,Female Median Earning Bach,Total Median Earning Grad,Male Median Earning Grad,Female Median Earning Grad
"Allen County, Kansas",1161,616,545,76,57,19,399,231,168,606,295,311,80,33,47,8625,4158,4467,232,116,116,421,217,204,2873,1592,1281,2378,1014,1364,1062,472,590,1086,445,641,573,302,271,1300,655,645,1219,601,618,159,38,121,1477,817,660,1402,745,657,409,179,230,3346,1606,1740,3187,1515,1672,552,215,337,2502,1080,1422,2164,964,1200,539,315,224,8258,3995,4263,7645,3667,3978,1613,747,866,8062,3821,4241,7469,3510,3959,1524,674,850,131,78,53,120,73,47,25,0,25,14,0,14,11,0,11,9,0,9,10,0,10,8,0,8,0,0,0,12,0,12,12,0,12,0,0,0,25,5,20,16,5,11,0,0,0,175,80,95,160,80,80,12,0,12,223,179,44,192,162,30,89,73,16,30057,35670,24035,36705,40938,,26577,31218,19715,28008,36058,22031,39116,47917,36612,52315,60159,47750
"Anderson County, Kansas",517,272,245,58,13,45,169,151,18,249,106,143,41,2,39,5361,2567,2794,185,87,98,310,234,76,2068,1023,1045,1248,572,676,552,116,436,574,341,233,424,194,230,770,398,372,703,348,355,192,75,117,930,397,533,836,347,489,137,79,58,1999,1008,991,1861,911,950,347,189,158,1662,764,898,1466,640,826,322,192,130,5157,2512,2645,4664,2191,2473,946,486,460,5121,2493,2628,4640,2172,2468,942,486,456,13,8,5,13,8,5,11,8,3,167,28,139,167,28,139,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,19,5,22,19,3,19,19,0,36,19,17,24,19,5,4,0,4,29803,37500,21998,42542,44833,3352,27277,36958,14167,25705,30167,22178,37083,37849,27361,40967,,41321
"Atchison County, Kansas",2449,1188,1261,147,93,54,668,433,235,1410,492,918,224,170,54,10127,4742,5385,235,87,148,539,203,336,3996,2157,1839,2407,1126,1281,849,273,576,1324,562,762,777,334,443,1756,820,936,1671,787,884,350,100,250,1638,798,840,1608,792,816,390,157,233,4001,1979,2022,3852,1902,1950,814,434,380,2732,1145,1587,2222,971,1251,547,205,342,9539,4598,4941,8824,4344,4480,1989,860,1129,9380,4503,4877,8687,4260,4427,1960,833,1127,314,65,249,280,51,229,62,0,62,32,3,29,29,3,26,0,0,0,26,8,18,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,4,0,4,212,68,144,198,54,144,46,36,10,209,108,101,171,84,87,33,27,6,33088,41992,22995,37206,37426,,29895,41382,19472,24798,39074,18268,42221,67500,40654,49211,65234,43368
"Barber County, Kansas",319,163,156,98,65,33,86,51,35,112,32,80,23,15,8,3411,1777,1634,72,44,28,180,111,69,1207,733,474,979,414,565,293,147,146,393,176,217,287,152,135,613,350,263,602,343,259,97,29,68,423,193,230,369,163,206,77,28,49,1339,750,589,1254,682,572,241,116,125,1036,484,552,934,434,500,265,155,110,3288,1707,1581,3041,1553,1488,655,315,340,3238,1666,1572,2991,1512,1479,650,313,337,29,11,18,29,11,18,0,0,0,13,6,7,13,6,7,0,0,0,33,17,16,29,17,12,24,12,12,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,46,34,12,46,34,12,1,1,0,52,43,9,51,42,9,5,2,3,31760,44694,21875,34625,49000,20625,26371,36902,15924,30550,47143,18750,40662,41250,40481,62159,75341,48824
"Barton County, Kansas",2287,1150,1137,344,190,154,685,372,313,1165,582,583,93,6,87,18253,8949,9304,825,460,365,1442,779,663,5960,3193,2767,4657,2058,2599,2283,954,1329,2161,1012,1149,925,493,432,3346,1726,1620,2927,1450,1477,596,286,310,2972,1560,1412,2392,1159,1233,582,215,367,7115,3462,3653,6484,3173,3311,1151,601,550,4820,2201,2619,4183,1928,2255,757,403,354,17150,8357,8793,15204,7277,7927,2884,1405,1479,15879,7650,8229,14545,6981,7564,2835,1405,1430,250,151,99,179,107,72,10,10,0,141,79,62,103,64,39,42,40,2,48,10,38,39,10,29,39,10,29,65,36,29,65,36,29,0,0,0,362,189,173,193,123,70,40,11,29,237,127,110,203,93,110,71,29,42,1792,1013,779,974,499,475,154,71,83,33279,40842,25244,21538,31515,11946,26889,34341,20872,33825,42432,26941,41098,50278,33598,53445,55000,51394
"Bourbon County, Kansas",1424,810,614,173,36,137,360,220,140,792,521,271,99,33,66,9565,4561,5004,366,199,167,552,267,285,2979,1501,1478,2807,1289,1518,1030,431,599,1191,639,552,640,235,405,1595,827,768,1395,742,653,236,116,120,1507,728,779,1438,700,738,317,149,168,3715,1796,1919,3489,1617,1872,799,336,463,2748,1210,1538,2325,1036,1289,479,273,206,9135,4411,4724,8274,3978,4296,1813,866,947,8984,4276,4708,8148,3857,4291,1813,866,947,192,66,126,166,57,109,12,8,4,66,37,29,61,32,29,0,0,0,54,12,42,54,12,42,0,0,0,0,0,0,0,0,0,0,0,0,19,3,16,16,0,16,0,0,0,99,32,67,76,16,60,6,0,6,170,138,32,142,121,21,0,0,0,30283,34837,24968,20221,23000,10446,28810,32922,23545,28892,35319,24153,39414,41452,34063,50363,87888,41765
"Brown County, Kansas",677,356,321,73,30,43,255,149,106,307,145,162,42,32,10,6564,3154,3410,140,80,60,299,152,147,2583,1317,1266,1667,804,863,485,154,331,878,429,449,512,218,294,1016,498,518,955,455,500,254,109,145,1016,502,514,957,470,487,201,75,126,2699,1333,1366,2590,1277,1313,626,313,313,1833,821,1012,1623,720,903,309,150,159,5814,2785,3029,5438,2591,2847,1289,593,696,5719,2747,2972,5347,2557,2790,1256,593,663,76,40,36,70,35,35,16,5,11,479,251,228,441,230,211,35,18,17,39,21,18,39,21,18,13,7,6,5,5,0,5,5,0,0,0,0,22,15,7,15,8,7,8,8,0,129,37,92,117,32,85,29,16,13,186,99,87,169,82,87,41,8,33,30644,34536,24039,23571,29583,14861,23750,31034,17846,30494,34000,23386,40000,50905,29157,52017,60625,50134
"Butler County, Kansas",5754,3145,2609,804,556,248,1587,967,620,2981,1433,1548,382,189,193,43322,21388,21934,769,368,401,2556,1595,961,11374,5772,5602,11629,5845,5784,4318,1849,2469,8573,4145,4428,4103,1814,2289,7820,4141,3679,7063,3560,3503,2572,1037,1535,8248,4196,4052,7783,3839,3944,3083,1331,1752,17972,8907,9065,16934,8242,8692,5326,2639,2687,9282,4144,5138,8217,3784,4433,1695,952,743,40771,19965,20806,37933,18372,19561,11938,5638,6300,39584,19276,20308,37040,17930,19110,11638,5507,6131,893,713,180,612,478,134,166,88,78,366,149,217,298,122,176,130,41,89,464,161,303,396,114,282,229,78,151,13,13,0,13,13,0,0,0,0,115,55,60,115,55,60,23,23,0,700,332,368,630,271,359,190,91,99,1453,859,594,1084,560,524,352,171,181,41802,51470,29913,27945,34919,12220,32830,44886,19356,36163,48015,25662,50487,61658,40644,62475,84351,53041
"Chase County, Kansas",198,113,85,10,7,3,121,67,54,57,39,18,10,0,10,1855,908,947,62,38,24,86,69,17,512,286,226,623,278,345,107,46,61,335,142,193,130,49,81,236,125,111,214,103,111,69,18,51,286,144,142,267,125,142,70,35,35,707,346,361,660,308,352,186,81,105,626,293,333,566,265,301,140,57,83,1810,876,934,1665,772,893,465,191,274,1757,856,901,1625,765,860,461,187,274,17,17,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,13,0,13,0,0,0,15,15,0,15,15,0,0,0,0,66,20,46,53,7,46,4,4,0,31531,34327,29893,27083,,-,26955,32206,24792,30121,36875,28036,38073,41250,37344,52500,50313,75313
"Chautauqua County, Kansas",206,124,82,56,39,17,90,54,36,54,31,23,6,0,6,2490,1244,1246,123,86,37,185,75,110,923,555,368,607,254,353,238,82,156,309,148,161,105,44,61,364,190,174,341,178,163,100,36,64,321,182,139,263,155,108,28,21,7,948,452,496,868,414,454,181,71,110,857,420,437,710,336,374,105,64,41,2267,1140,1127,1975,995,980,374,168,206,2205,1110,1095,1913,965,948,374,168,206,10,2,8,10,2,8,0,0,0,132,60,72,120,48,72,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,42,39,77,38,39,33,17,16,62,30,32,62,30,32,0,0,0,29886,31849,25173,19792,23250,16429,22275,31071,14018,29286,32256,25691,41200,47222,35625,41250,,42083
