Geography,State,County,Latitude,Longitude,Population
"Allen County, Kansas",Kansas,Allen,37.8586,-95.275,13371
"Anderson County, Kansas",Kansas,Anderson,38.221,-95.2293,8102
"Atchison County, Kansas",Kansas,Atchison,39.5159,-95.2915,16924
"Barber County, Kansas",Kansas,Barber,37.2369,-98.624,4861
"Barton County, Kansas",Kansas,Barton,38.4829,-98.7911,27674
"Bourbon County, Kansas",Kansas,Bourbon,37.8342,-94.8595,15173
"Brown County, Kansas",Kansas,Brown,39.7827,-95.5862,9984
"Butler County, Kansas",Kansas,Butler,37.7867,-96.8935,65880
"Chase County, Kansas",Kansas,Chase,38.3409,-96.6309,2790
"Chautauqua County, Kansas",Kansas,Chautauqua,37.0875,-96.1883,3669
"Cherokee County, Kansas",Kansas,Cherokee,37.1738,-94.814,21603
"Cheyenne County, Kansas",Kansas,Cheyenne,39.7154,-101.721,2726
"Clark County, Kansas",Kansas,Clark,37.3072,-99.8893,2215
"Clay County, Kansas",Kansas,Clay,39.3065,-97.134,8535
"Cloud County, Kansas",Kansas,Cloud,39.4842,-97.6232,9533
"Coffey County, Kansas",Kansas,Coffey,38.1732,-95.709,8601
"Comanche County, Kansas",Kansas,Comanche,37.2156,-99.3594,1891
"Cowley County, Kansas",Kansas,Cowley,37.2984,-96.8641,36311
"Crawford County, Kansas",Kansas,Crawford,37.5076,-94.778,39134
"Decatur County, Kansas",Kansas,Decatur,39.7805,-100.368,2961
"Dickinson County, Kansas",Kansas,Dickinson,38.8391,-97.0986,19754
"Doniphan County, Kansas",Kansas,Doniphan,39.7943,-95.173,7945
"Douglas County, Kansas",Kansas,Douglas,38.8971,-95.2928,110826
"Edwards County, Kansas",Kansas,Edwards,37.9224,-99.3488,3037
"Elk County, Kansas",Kansas,Elk,37.3884,-96.2885,2882
"Ellis County, Kansas",Kansas,Ellis,38.8642,-99.2863,28452
"Ellsworth County, Kansas",Kansas,Ellsworth,38.6786,-98.2619,6497
"Finney County, Kansas",Kansas,Finney,38.0016,-100.7927,36776
"Ford County, Kansas",Kansas,Ford,37.7025,-99.8406,33848
"Franklin County, Kansas",Kansas,Franklin,38.5386,-95.2693,25992
"Geary County, Kansas",Kansas,Geary,39.0894,-96.8317,34362
"Gove County, Kansas",Kansas,Gove,39.0394,-100.3553,2695
"Graham County, Kansas",Kansas,Graham,39.3567,-99.8942,2597
"Grant County, Kansas",Kansas,Grant,37.5625,-101.309,7829
"Gray County, Kansas",Kansas,Gray,37.7041,-100.3728,6006
"Greeley County, Kansas",Kansas,Greeley,38.4697,-101.748,1247
"Greenwood County, Kansas",Kansas,Greenwood,37.8814,-96.1766,6689
"Hamilton County, Kansas",Kansas,Hamilton,37.9931,-101.769,2690
"Harper County, Kansas",Kansas,Harper,37.1865,-98.0183,6034
"Harvey County, Kansas",Kansas,Harvey,38.0508,-97.4116,34684
"Haskell County, Kansas",Kansas,Haskell,37.554,-100.784,4256
"Hodgeman County, Kansas",Kansas,Hodgeman,38.0727,-99.8016,1916
"Jackson County, Kansas",Kansas,Jackson,39.4485,-95.7239,13462
"Jefferson County, Kansas",Kansas,Jefferson,39.2257,-95.3938,19126
"Jewell County, Kansas",Kansas,Jewell,39.7746,-98.1541,3077
"Johnson County, Kansas",Kansas,Johnson,38.9256,-94.7758,544179
"Kearny County, Kansas",Kansas,Kearny,37.9518,-101.228,3977
"Kingman County, Kansas",Kansas,Kingman,37.535,-98.183,7858
"Kiowa County, Kansas",Kansas,Kiowa,37.6044,-99.2618,2553
