county,population,Pop_25Plus,White_Pop,White_HS,White_Bach,Black_Pop,Black_HS,Black_Bach,AmIndAK_Pop,AmIndAK_HS,AmIndAK_Bach,Asian_Pop,Asian_HS,Asian_Bach,HI0PI_Pop,HI0PI_HS,HI0PI_Bach,Hisp_Pop,Hisp_HS,Hisp_Bach,Multi_Pop,Multi_HS,Multi_Bach,Other_Pop,Other_HS,Other_Bach,ID
Allen,12519,8625,8062,7469,1524,131,120,25,14,11,9,10,8,0,12,12,0,223,192,89,175,160,12,25,16,0,1
Anderson,7833,5361,5121,4640,942,13,13,11,167,167,22,0,0,0,0,0,0,36,24,4,24,22,19,0,0,0,2
Atchison,16332,10127,9380,8687,1960,314,280,62,32,29,0,26,18,0,0,0,0,209,171,33,212,198,46,4,4,4,3
Barber,4586,3411,3238,2991,650,29,29,0,13,13,0,33,29,24,0,0,0,52,51,5,46,46,1,2,1,0,4
Barton,26476,18253,15879,14545,2835,250,179,10,141,103,42,48,39,39,65,65,0,1792,974,154,237,203,71,362,193,40,5
Bourbon,14754,9565,8984,8148,1813,192,166,12,66,61,0,54,54,0,0,0,0,170,142,0,99,76,6,19,16,0,6
Brown,9641,6564,5719,5347,1256,76,70,16,479,441,35,39,39,13,5,5,0,186,169,41,129,117,29,22,15,8,7
Butler,66878,43322,39584,37040,11638,893,612,166,366,298,130,464,396,229,13,13,0,1453,1084,352,700,630,190,115,115,23,8
Chase,2683,1855,1757,1625,461,17,14,0,0,0,0,0,0,0,0,0,0,66,53,4,15,15,0,13,13,0,9
Chautauqua,3363,2490,2205,1913,374,10,10,0,132,120,7,0,0,0,0,0,0,62,62,0,81,77,33,0,0,0,10
Cherokee,20115,14012,12812,11286,2426,37,37,0,373,332,80,17,9,0,30,30,0,239,151,10,487,432,125,35,23,17,11
Cheyenne,2683,1893,1774,1674,470,0,0,0,0,0,0,15,8,8,0,0,0,78,44,10,19,19,0,39,22,0,12
Clark,2004,1433,1280,1245,428,15,12,7,12,12,6,9,9,4,0,0,0,88,29,14,32,32,16,0,0,0,13
Clay,7958,5730,5499,5083,1317,2,2,0,48,48,10,49,49,0,0,0,0,74,45,24,60,60,17,16,0,0,14
Cloud,8991,6194,5911,5489,1290,20,20,0,32,32,0,0,0,0,0,0,0,169,52,17,75,62,6,89,4,4,15
Coffey,8224,5869,5564,5193,1188,34,34,3,33,31,10,36,22,4,0,0,0,95,93,18,108,62,3,5,5,0,16
Comanche,1790,1228,1140,1074,214,0,0,0,0,0,0,0,0,0,0,0,0,75,53,7,13,9,6,7,7,0,17
Cowley,35361,23253,19999,18387,4361,558,413,79,392,348,44,337,296,71,6,6,0,1628,1103,104,449,405,73,233,202,30,18
