county,latitude,longitude,population,Total_Median_Earnings_,Total_Median_Earning_Less_than_HS,Total_Median_Earning_HS,Total_Median_Earning_Assoc,Total_Median_Earning_Bach,Total_Median_Earning_Grad,Male_Median_Earnings,Male_Median_Earning_Less_than_HS,Male_Median_Earning_HS,Male_Median_Earning_Assoc,Male_Median_Earning_Bach,Male_Median_Earning_Grad,Female_Median_Earnings,Female_Median_Earning_Less_than_HS,Female_Median_Earning_HS,Female_Median_Earning_Assoc,Female_Median_Earning_Bach,Female_Median_Earning_Grad
Allen,37.8586,-95.275,12519,30057,36705,26577,28008,39116,52315,35670,40938,31218,36058,47917,60159,24035,0,19715,22031,36612,47750
Anderson,38.221,-95.2293,7833,29803,42542,27277,25705,37083,40967,37500,44833,36958,30167,37849,0,21998,3352,14167,22178,27361,41321
Atchison,39.5159,-95.2915,16332,33088,37206,29895,24798,42221,49211,41992,37426,41382,39074,67500,65234,22995,0,19472,18268,40654,43368
Barber,37.2369,-98.624,4586,31760,34625,26371,30550,40662,62159,44694,49000,36902,47143,41250,75341,21875,20625,15924,18750,40481,48824
Barton,38.4829,-98.7911,26476,33279,21538,26889,33825,41098,53445,40842,31515,34341,42432,50278,55000,25244,11946,20872,26941,33598,51394
Bourbon,37.8342,-94.8595,14754,30283,20221,28810,28892,39414,50363,34837,23000,32922,35319,41452,87888,24968,10446,23545,24153,34063,41765
Brown,39.7827,-95.5862,9641,30644,23571,23750,30494,40000,52017,34536,29583,31034,34000,50905,60625,24039,14861,17846,23386,29157,50134
Butler,37.7867,-96.8935,66878,41802,27945,32830,36163,50487,62475,51470,34919,44886,48015,61658,84351,29913,12220,19356,25662,40644,53041
Chase,38.3409,-96.6309,2683,31531,27083,26955,30121,38073,52500,34327,0,32206,36875,41250,50313,29893,0,24792,28036,37344,75313
Chautauqua,37.0875,-96.1883,3363,29886,19792,22275,29286,41200,41250,31849,23250,31071,32256,47222,0,25173,16429,14018,25691,35625,42083
Cherokee,37.1738,-94.814,20115,29485,19505,25550,27994,41382,50190,36261,25954,32404,35504,44608,50615,23125,17674,20871,20992,36059,48929
Cheyenne,39.7154,-101.721,2683,31818,15625,27173,28393,41607,51875,39485,37361,35568,30855,54821,52778,24917,11691,16719,26667,26875,39886
Clark,37.3072,-99.8893,2004,34805,41563,28409,30568,42045,46563,40441,41771,34250,30000,51771,0,27891,0,22813,30962,32596,37344
Clay,39.3065,-97.134,7958,30457,21328,24140,30403,36750,42708,37487,30161,35250,37134,54123,77833,21768,0,18878,22167,22500,34125
Cloud,39.4842,-97.6232,8991,31609,35757,23112,31021,41912,41389,38768,32000,35833,39688,51413,42813,24580,50068,15964,24180,35000,40284
Coffey,38.1732,-95.709,8224,39190,23125,35767,37159,51570,44338,51466,45227,41875,55607,64250,82708,25882,14750,22824,22449,43646,38750
Comanche,37.2156,-99.3594,1790,35135,25250,36250,32386,23750,37500,37113,26000,38333,37656,35500,34375,30147,0,26364,30588,0,37813
Cowley,37.2984,-96.8641,35361,31936,21212,28081,30616,41565,53382,40411,28492,32068,42221,54167,60179,25415,11641,20133,21557,35429,50755
Crawford,37.5076,-94.778,39034,31609,25426,23304,26936,41203,47364,36180,30179,31301,31627,46125,55761,26508,12386,18809,22601,38177,44089
Decatur,39.7805,-100.368,2885,31794,16750,24531,30389,43162,39605,36354,20060,32500,35912,55481,38229,23663,0,13250,23266,39167,42292
Dickinson,38.8391,-97.0986,18902,32363,24432,27757,32530,40053,46603,39619,31107,34805,40885,50580,52361,24639,10795,21902,25853,34955,40119
Doniphan,39.7943,-95.173,7727,35408,35156,32685,31672,39125,45833,40938,40833,39056,40237,48958,70833,26599,19375,22599,26161,35319,41875
Douglas,38.8971,-95.2928,120793,39205,19765,30915,30998,43262,53888,44022,20428,35347,35668,51625,67299,35261,16402,22656,27282,37362,47879
Edwards,37.9224,-99.3488,2893,36906,32692,29688,38487,41905,44083,42003,38750,38125,42679,47396,91250,27500,11875,20714,27331,37788,43583
Elk,37.3884,-96.2885,2498,25186,36625,20819,21339,25938,48333,31848,37500,30150,31047,47500,56786,16677,9063,13281,17045,20250,46250
Ellis,38.8642,-99.2863,28689,36637,21838,33507,30138,39666,53389,42926,29703,38580,42895,45820,65142,30702,10689,25147,22736,36021,49205
Ellsworth,38.6786,-98.2619,6330,32406,22031,29148,32550,35957,43056,38293,25347,34732,40278,41583,56000,26799,11800,22763,26875,33942,40804
Finney,38.0016,-100.7927,37084,34074,28680,30480,33301,48721,51115,39969,32096,37722,43377,53365,61212,26183,21672,22092,25835,38995,48777
Ford,37.7025,-99.8406,34381,31862,28026,27480,35155,46098,50756,35506,30427,32109,41330,51916,54167,27662,23243,23644,27411,38859,49744
Franklin,38.5386,-95.2693,25733,36134,21033,32086,35786,42442,49383,41186,30063,37748,41648,64048,58958,30380,18750,22542,30598,39181,47679
Geary,39.0894,-96.8317,33855,34217,17295,29623,34847,42352,47928,40599,25950,36268,40406,49231,73095,23639,12429,22372,19682,35896,36740
Gove,39.0394,-100.3553,2631,31703,14141,31207,33472,31625,48542,40808,18125,40461,43250,41042,50833,23929,0,20357,26250,26875,41458
Graham,39.3567,-99.8942,2495,30955,18500,26208,27891,35000,49500,37071,0,34453,35795,43382,49250,22000,11563,17361,22721,27500,53125
Grant,37.5625,-101.309,7526,38250,32632,32311,40238,38529,65263,47813,45714,49875,47013,47292,53598,25723,18796,17143,28125,37005,105789
Gray,37.7041,-100.3728,5958,40090,32044,36085,38846,47125,61000,46995,40263,47000,46543,52308,68281,25591,8393,22778,26359,38365,51406
Greeley,38.4697,-101.748,1249,30292,25000,25278,33750,36339,27361,35833,29167,35625,40500,40714,30000,23875,21500,15417,31458,30375,0
Greenwood,37.8814,-96.1766,6123,26997,17019,24113,26556,36295,45195,35082,51786,30106,32439,50677,41250,21000,15673,16667,21875,32250,45500
Hamilton,37.9931,-101.769,2640,32337,31319,27417,29388,41000,46250,40417,34375,40278,36786,41403,51250,26552,0,25873,27542,39750,0
Harper,37.1865,-98.0183,5590,32768,26875,30827,31520,39231,44500,38862,33824,34750,42885,44167,42250,22849,21607,21125,21250,33571,46563
Harvey,38.0508,-97.4116,34544,37178,22308,29653,35449,44727,51446,44418,40095,33207,47097,50250,61607,26936,12604,22321,23843,36376,46380
Haskell,37.554,-100.784,4053,30625,30069,27847,28456,41174,51979,40212,36938,46250,37000,45625,54464,23158,16563,20833,23866,35833,50833
Hodgeman,38.0727,-99.8016,1842,32264,35625,32000,28944,47000,55962,41372,41429,34205,32107,49911,50833,27500,0,23036,26295,32583,56944
